create user jytfgh yert;2024-05-07T19:19:23.462419
create user hdtrf trwe;2024-05-07T19:21:39.359625
create user grew hyrt;2024-05-07T19:22:45.383646
create user htr bgfd;2024-05-07T19:24:09.852537
read user grew hyrt;2024-05-07T19:29:35.821002
read user grew hyrt;2024-05-07T19:29:48.400498
read user hdtrf trwe;2024-05-07T19:29:50.172635
read all accounts and savings accounts ;2024-05-07T19:29:50.174258
create user ger wgfsd;2024-05-07T19:33:19.176772
create user grw bgd;2024-05-07T19:35:52.954861
create user hyt gdsr;2024-05-07T19:38:13.305888
create user jytd htyr;2024-05-07T19:39:15.113597
create user grew gfds;2024-05-07T19:44:10.430064
create user vew htr;2024-05-07T19:45:25.526597
read user grew hyrt;2024-05-07T19:45:38.380248
create account RO67RZBRR15;2024-05-07T19:45:39.868506
read user htr bgfd;2024-05-07T19:45:46.382452
create savings account RO67RZBRR16;2024-05-07T19:45:47.648705
read user gtwres jyt;2024-05-07T19:45:55.562180
read account RO67RZBRR3;2024-05-07T19:46:00.496611
create visa 3;2024-05-07T19:46:01.997195
read user hdtrf trwe;2024-05-07T19:46:09.954053
read user grew yrt;2024-05-07T19:46:16.259269
read all accounts;2024-05-07T19:46:16.262366
read user gtwres jyt;2024-05-07T19:46:20.647263
read all accounts;2024-05-07T19:46:20.648813
read user grew hyrt;2024-05-07T19:46:30.782956
read user grew hyrt;2024-05-07T19:46:33.098536
read all accounts and savings accounts ;2024-05-07T19:46:33.100236
read user grew hyrt;2024-05-07T19:46:44.355386
update account RO67RZBRR15;2024-05-07T19:46:47.802732
read user grew hyrt;2024-05-07T19:46:52.792513
read user grew hyrt;2024-05-07T19:46:55.452989
read all accounts and savings accounts ;2024-05-07T19:46:55.454219
read user grew hyrt;2024-05-07T19:48:27.650703
read user grew hyrt;2024-05-07T19:48:28.107043
read all accounts and savings accounts ;2024-05-07T19:48:28.108829
update account RO67RZBRR15;2024-05-07T19:48:45.571597
update account RO67RZBRR5;2024-05-07T19:48:45.571794
create transaction RO67RZBRR15 -> RO67RZBRR5;2024-05-07T19:48:45.571997
read user grew hyrt;2024-05-07T19:48:52.277519
read user grew hyrt;2024-05-07T19:48:55.266609
read all accounts and savings accounts ;2024-05-07T19:48:55.268051
read user grew hyrt;2024-05-07T19:49:11.654327
update account RO67RZBRR15;2024-05-07T19:49:13.173077
read user grew hyrt;2024-05-07T19:49:19.166730
read user grew hyrt;2024-05-07T19:52:09.089161
read user grew hyrt;2024-05-07T19:52:09.882710
read all accounts and savings accounts ;2024-05-07T19:52:09.884607
update account RO67RZBRR15;2024-05-07T19:53:02.403088
update account RO67RZBRR3;2024-05-07T19:53:02.403436
create transaction RO67RZBRR15 -> RO67RZBRR3;2024-05-07T19:53:02.403617
read user grew hyrt;2024-05-07T19:53:10.541452
read user grew hyrt;2024-05-07T19:53:11.696671
read all accounts and savings accounts ;2024-05-07T19:53:11.698564
read user grew hyrt;2024-05-07T19:53:17.543752
read all transactions ;2024-05-07T19:53:17.547332
read all accounts ;2024-05-07T19:53:17.547586
read user grew hyrt;2024-05-07T19:53:30.874456
read all accounts;2024-05-07T19:53:30.877430
read user grew hyrt;2024-05-07T19:53:39.967863
read all accounts;2024-05-07T19:53:39.971250
read user hdtrf trwe;2024-05-19T20:20:59.478205
read user htr bgfd;2024-05-19T20:21:14.330453
